title,release_date,type,runtime,season_count,episode_count,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,text_input,production_company_is_missing,cast_is_missing,director_is_missing
STRAW,2025-06-05,movie,105.0,1.0,1.0,"Thriller, Drama, Crime",Tyler Perry,"Taraji P. Henson, Sherri Shepherd, Teyana Taylor, Sinbad, Rockmond Dunbar",US,en,Tyler Perry Studios,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,"angry, aggressive, hopeless, anxious, provocative, audacious, callous, earnest, frustrated, straw",8.118,484,"What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation. Thriller, Drama, Crime",0,0,0
Predator: Killer of Killers,2025-06-05,movie,85.0,1.0,1.0,"Animation, Action, Science Fiction",Dan Trachtenberg,"Lindsay LaVanchy, Louis Ozawa, Rick Gonzalez, Michael Biehn, Doug Cockle",US,en,"20th Century Studios, Davis Entertainment, Lawrence Gordon Productions, Toberoff Productions","While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.","world war ii, pilot, vikings (norsemen), anthology, ninja, feudal japan, baffled",7.981,525,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers. Animation, Action, Science Fiction",0,0,0
How to Train Your Dragon,2025-06-06,movie,125.0,1.0,1.0,"Action, Family, Fantasy",Dean DeBlois,"Mason Thames, Nico Parker, Gerard Butler, Nick Frost, Gabriel Howell",US,en,"DreamWorks Animation, Marc Platt Productions","On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.","flying, vikings (norsemen), remake, dragon, battle, warrior, live action remake, based on young adult novel, fantasy",8.0,256,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society. Action, Family, Fantasy",0,0,0
Deep Cover,2025-06-12,movie,99.0,1.0,1.0,"Action, Comedy, Crime",Tom Kingsley,"Bryce Dallas Howard, Orlando Bloom, Nick Mohammed, Paddy Considine, Sonoya Mizuno",US,en,"Metronome Film Company, Parkes+MacDonald Image Nation","Kat is an improv comedy teacher beginning to question if she’s missed her shot at success. When an undercover cop offers her the role of a lifetime, she recruits two of her students to infiltrate London’s gangland by impersonating dangerous criminals.","london, england, sting operation, met police, improv group",6.811,119,"Kat is an improv comedy teacher beginning to question if she’s missed her shot at success. When an undercover cop offers her the role of a lifetime, she recruits two of her students to infiltrate London’s gangland by impersonating dangerous criminals. Action, Comedy, Crime",0,0,0
K.O.,2025-06-05,movie,84.0,1.0,1.0,"Action, Drama, Adventure",Antoine Blossier,"Ciryl Gane, Alice Belaïdi, Maleaume Paquin, Foued Nabba, Mathieu Lestrade",FR,fr,"Empreinte Digitale, Artémis Productions","A former fighter must find the missing son of an opponent he accidentally killed years ago, taking on a brutally violent crime gang in Marseille.","action, thriller, startup, drama, historical, crime",6.66,119,"A former fighter must find the missing son of an opponent he accidentally killed years ago, taking on a brutally violent crime gang in Marseille. Action, Drama, Adventure",0,0,0
Ballerina,2025-06-04,movie,125.0,1.0,1.0,"Action, Thriller, Crime",Len Wiseman,"Ana de Armas, Anjelica Huston, Keanu Reeves, Norman Reedus, Lance Reddick",US,en,"Thunder Road, 87Eleven, Lionsgate","Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.","assassin, training, female protagonist, female assassin, spin off, vengeance",7.093,305,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma. Action, Thriller, Crime",0,0,0
Echo Valley,2025-06-13,movie,105.0,1.0,1.0,"Thriller, Drama",Michael Pearce,"Julianne Moore, Sydney Sweeney, Domhnall Gleeson, Kyle MacLachlan, Fiona Shaw",US,en,"Black Bicycle Entertainment, Apple Studios, Scott Free Productions","Kate lives a secluded life—until her troubled daughter shows up, frightened and covered in someone else's blood. As Kate unravels the shocking truth, she learns just how far a mother will go to try to save her child.","mother daughter relationship, dramatic",6.567,89,"Kate lives a secluded life—until her troubled daughter shows up, frightened and covered in someone else's blood. As Kate unravels the shocking truth, she learns just how far a mother will go to try to save her child. Thriller, Drama",0,0,0
Taandob,2025-06-07,movie,129.0,1.0,1.0,"Action, Thriller",Raihan Rafi,"Shakib Khan, Sabila Nur, Jaya Ahsan, Afzal Hossain, Shahiduzzaman Selim",BD,bn,"Alpha-i, SVF Entertainment, Chorki",,"aggressive, bangladeshi cinema, powerful",8.3,3," Action, Thriller",0,0,0
Our Times,2025-06-09,movie,90.0,1.0,1.0,"Science Fiction, Romance, Comedy",Chava Cartas,"Lucero, Benny Ibarra, Renata Vaca, Ofelia Medina, Alejandro Ávila",MX,es,Draco Films,"Husband and wife Nora and Héctor's scientific breakthrough lets them time travel from 1966 to 2025. As Héctor struggles, Nora thrives—but at what cost?",time travel,6.892,37,"Husband and wife Nora and Héctor's scientific breakthrough lets them time travel from 1966 to 2025. As Héctor struggles, Nora thrives—but at what cost? Science Fiction, Romance, Comedy",0,0,0
28 Years Later,2025-06-18,movie,115.0,1.0,1.0,"Horror, Thriller, Science Fiction",Danny Boyle,"Jodie Comer, Aaron Taylor-Johnson, Jack O'Connell, Alfie Williams, Ralph Fiennes",GB,en,"Columbia Pictures, DNA Films, Decibel Films","Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.","post-apocalyptic future, sequel, zombie, zombie apocalypse",7.571,7,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well. Horror, Thriller, Science Fiction",0,0,0
The Containment,2025-06-05,movie,88.0,1.0,1.0,"Horror, Mystery","Jack Zagha Kababie, Yossy Zagha","Gia Hunter, Jack Gouldbourne, Fernanda Romero, Alice Coulthard, Roger Cudney",MX,es,Avanti Pictures,"A girl is possessed by a dark and mysterious entity. She will fight with all the elements at her disposal to get rid of it. Neither her mother, nor traditional medicine, nor a supposed expert in exorcisms, will be able to make the demon disappear, until a nun gets involved in the case and sows a doubt more terrible than the possession itself.",possession,7.538,13,"A girl is possessed by a dark and mysterious entity. She will fight with all the elements at her disposal to get rid of it. Neither her mother, nor traditional medicine, nor a supposed expert in exorcisms, will be able to make the demon disappear, until a nun gets involved in the case and sows a doubt more terrible than the possession itself. Horror, Mystery",0,0,0
Titan: The OceanGate Submersible Disaster,2025-06-06,movie,112.0,1.0,1.0,"Documentary, Drama",Mark Monroe,"Stockton Rush, Paul-Henri Nargeolet, Emily Hammermeister, David Lochridge, Tony Nissen",US,en,"Story Syndicate, Diamond Docs",OceanGate's Titan tourist submersible imploded in 2023 on a deep-sea dive to the Titanic. This documentary details how a bold vision ended in tragedy.,"submarine, titanic, oceanic expedition, deepsea, mini submarine, submersible, sunken submarine, deep-sea dive, deepwater, deep dive, deep-sea",7.081,62,"OceanGate's Titan tourist submersible imploded in 2023 on a deep-sea dive to the Titanic. This documentary details how a bold vision ended in tragedy. Documentary, Drama",0,0,0
Materialists,2025-06-12,movie,117.0,1.0,1.0,"Romance, Drama",Celine Song,"Dakota Johnson, Chris Evans, Pedro Pascal, Zoë Winters, Marin Ireland",US,en,"A24, Killer Films, 2AM, IPR.VC, Access Entertainment","A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.","new york city, love triangle, affectation, wedding, class differences, ex-boyfriend ex-girlfriend relationship, woman director, matchmaker, adoring",7.2,25,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex. Romance, Drama",0,0,0
